state,Fraud,Extortion,Causing Disrepute,Prank,Disrupt Public Service,Developing own business,Spreading Piracy, Pervert,Steal Information,Others,total
Andhra Pradesh,537,65,0,0,1,0,1,0,0,217,821
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,1,1
Assam,48,65,40,40,0,0,0,0,3,322,518
Bihar,397,3,0,0,0,0,0,0,0,0,400
Chhattisgarh,47,4,29,18,0,0,0,0,0,42,140
Goa,8,0,5,0,0,0,0,0,0,0,13
Gujarat,305,12,79,3,2,1,0,0,0,11,413
Haryana,43,4,9,2,1,7,4,0,1,382,453
Himachal Pradesh,8,6,3,3,0,4,1,0,0,9,34
Jammu & Kashmir,15,10,0,3,10,0,0,0,0,14,52
Jharkhand,460,17,0,6,23,36,2,2,1,84,631
Karnataka,2764,28,94,1,2,8,2,2,1,126,3028
Kerala,77,11,30,0,1,2,0,8,0,24,153
Madhya Pradesh,155,6,135,4,1,0,8,0,0,101,410
Maharashtra,2171,23,97,16,2,13,2,4,1,619,2948
Manipur,35,0,0,0,0,0,5,0,1,21,62
Meghalaya,15,1,0,0,0,1,0,0,0,6,23
Mizoram,7,0,0,0,0,0,0,0,0,2,9
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,531,57,4,0,0,13,43,0,1,143,792
Punjab,53,11,16,4,1,0,1,0,0,19,105
Rajasthan,331,19,35,3,0,23,2,0,1,819,1233
Sikkim,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,51,11,17,2,5,3,3,0,0,14,106
Telangana,529,95,0,0,0,0,2,0,0,304,930
Tripura,3,0,0,0,0,0,0,0,0,1,4
Uttar Pradesh,3450,419,366,192,3,35,12,1,0,44,4522
Uttarakhand,54,17,23,0,0,0,0,0,0,9,103
West Bengal,45,7,15,17,0,0,0,0,0,379,463
Total State(s),12139,891,997,314,52,146,88,17,10,3713,18367
